year,week,new_songs
2024,1,200
2024,2,11
2024,3,23
2024,4,8
2024,5,11
2024,6,7
2024,7,32
2024,8,10
2024,9,9
2024,10,9
2024,11,20
2024,12,5
2024,13,22
2024,14,27
2024,15,21
2024,16,16
2024,17,36
2024,18,16
2024,19,11
2024,20,13
2024,21,17
2024,22,8
2024,23,7
2024,24,11
2024,25,7
2024,26,14
2024,27,8
2024,28,8
2024,29,19
2024,30,13
2024,31,8
2024,32,10
2024,33,8
2024,34,10
2024,35,19
2024,36,12
2024,37,8
2024,38,11
2024,39,4
2024,40,9
2024,41,8
2024,42,9
2024,43,12
2024,44,25
2024,45,8
2024,46,11
2024,47,23
2024,48,31
2024,49,25
2024,50,21
2024,51,9
2024,52,35
2025,1,16
