track_name,total_streams,max_weeks
CRAZYZ,16476769,2
July,8286512,42
I Hate It Here,33553632,2
We Don't Talk Anymore (feat. Selena Gomez),57251678,56
FIRST LOVE,157973352,13
VINO TINTO,21558275,2
all of me,23466160,2
imgonnagetyouback,63106491,4
Somebody Save Me,22744890,2
Thick Of It (feat. Trippie Redd),9794698,1
Tomorrow,12877575,1
Swim,62985207,13
Surround Sound (feat. 21 Savage & Baby Tate),166927204,19
M.A.I,34884933,4
Madonna,447883583,32
Two Faced,26200865,2
First Person Shooter (feat. J. Cole),53434378,18
I Gotta Feeling,16823636,4
Ice Attack,14523053,1
"""Carol of the Bells (From """"Home Alone"""" Soundtrack)""",84769011,16
Deck The Hall,55938238,11
Please Come Home for Christmas - 2013 Remaster,32014257,9
La Víctima,360968856,25
Water,568874448,57
Starboy,746130082,222
Selfish,18428680,2
The Manuscript,16581599,1
Snooze,564463507,97
Set Fire to the Rain,252830212,80
Scared To Start,465039444,37
Take on Me,337854701,51
Snowman,178786854,40
No Te Quieren Conmigo,27374075,3
Breathe,65129645,6
"Good Luck, Babe!",1093444354,38
Counting Stars,539966727,193
Cold Heart - PNAU Remix,232248083,145
Volver Al Futuro,106031128,9
UWAIE,209183942,15
La La La,10675332,1
The Real Slim Shady,145175184,128
Popular (with Playboi Carti & Madonna),132509719,44
Like Him (feat. Lola Young),156115300,10
FLAMENCO,9098725,1
I Want It That Way,35791468,4
Agora Hills,208204027,30
so american,21504913,2
Claustrophobic,11306391,1
JUST FOR FUN,9639333,1
500lbs,113332774,22
Stumblin' In,314480651,27
Not Like Us,978670627,35
Armageddon,43125122,4
Pink Pony Club,244966170,22
Evil,14804135,1
That’s So True,409792131,11
Happy Holiday / The Holiday Season,10993726,2
Locked out of Heaven,681261495,134
Everybody Wants To Rule The World,363812695,104
Take Me To Church,476891454,171
These Walls,13104607,1
TOMMY & PAMELA,36398241,4
Thriller,10597355,7
Rebirth (Intro),9135576,1
gloria (with sza),31112126,2
Home,149265113,13
Alibi (with Pabllo Vittar & Yseult),380969347,22
Rolling in the Deep,36224243,35
Grenade,37736205,4
+57,59633178,4
POCPOC,8997253,1
Corazón de Piedra,173836388,12
But Daddy I Love Him,146822004,7
SKINNY,85415389,5
"Perdonarte, ¿Para Qué?",9309685,1
Slow Dance (feat. Sofia Carson),10200275,1
Sailor Song,490314094,20
Tal Vez Fui Yo,9293872,1
Malvadinho,40722907,4
Lucid Dreams,66661411,203
Closer Than This,38626278,5
Igual Que Un Ángel (with Peso Pluma),196973231,11
sneaky,12097600,1
Huntin’ Wabbitz,8943622,1
Espresso,1756174447,38
Red Wine Supernova,196597726,18
"Darling, I (feat. Teezo Touchdown)",65729539,4
Christmas Child,12679140,34
BAND4BAND (feat. Lil Baby),278603068,15
SI NO ES CONTIGO,332117991,25
Don't Start Now,43284752,164
Best Part (feat. H.E.R.),131493683,28
Santa Tell Me,195175602,51
Christmas Without You,12499510,4
Apocalypse,581365675,129
Fried (She a Vibe),9739085,1
Whatever She Wants [BONUS],12062729,7
Feel It - From The Original Series “Invincible”,82759520,8
Sympathy is a knife featuring ariana grande,14799789,1
Christmas Time Is Here,27553345,4
Run Rudolph Run - Spotify Singles Holiday,31943541,2
Cruel Summer,1157720792,100
II MOST WANTED,47773062,3
Judge Judy,24912524,2
Khé?,137783221,7
Heat Waves,298429863,185
Whatever,239740235,23
A Bar Song (Tipsy),1005982136,38
Merry Christmas Everyone,70763962,37
Standing Next to You,559374925,53
Forever,10972110,1
Runnin Outta Time,10395953,1
Last Christmas - Single Version,77917313,55
Parking Lot,22421122,2
Blue Christmas,61018079,33
Descer Pra BC,32972358,3
FE!N (feat. Playboi Carti),857328042,68
Dark Red,197128359,128
Say Yes To Heaven,50965065,35
Doctor (Work It Out) [feat. Miley Cyrus],10058191,1
eternal sunshine,63273359,4
HUMBLE.,29379302,99
Slim Pickins,30133615,2
Those Eyes,93364867,51
Saturn,612472784,39
FRI(END)S,149881807,13
7 Minute Drill,14687368,1
Una Velita,11319074,1
I Hope You Find Your Way Home,10391924,1
Poker Face,8230062,1
EL AMOR DE SU VIDA,159840279,36
REAL GANGSTA LOVE,297562684,16
Tu Boda,363663973,13
Santa Claus Is Coming To Town,21209114,19
MY ROSE,10192726,1
CRAZY,76059957,7
BABY I'M BACK,48416197,5
Sorry,8826719,32
What Makes You Beautiful,61549651,8
reincarnated,41877283,2
Feliz Navidad,126984207,39
ROMPE LA DOMPE,79594997,7
DEJA VU,40658755,5
In The Stars,53318592,24
SMOKE HOUR ★ WILLIE NELSON,10027908,1
The Albatross,36077910,2
28,58065091,5
heart pt. 6,35508350,2
Es un Secreto,324911580,49
Ohnana,177468726,14
São Paulo (feat. Anitta),83211554,6
Can't Hold Us (feat. Ray Dalton),448925520,143
Beautiful Things,1696004562,50
BEG FORGIVENESS,11802992,1
TYRANT,10068729,1
Gosta De Rua - Ao Vivo,19743760,2
Have Yourself A Merry Little Christmas - Remastered 1999,53960629,7
Overdrive (feat. Norma Jean Martine),78486060,9
Thinkin Bout You,8435333,1
ordinary things (feat. Nonna),14784408,1
Calm Down (with Selena Gomez),118381737,82
Mr. Brightside,295596147,149
I Love You So,600957833,138
